"구분별(1)",구분별(2),구분별(3),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"구분별(1)",구분별(2),구분별(3),사례수 (개),기술개발 (%),자금조달 (%),업종선정 (%),사업 타당성 분석 (%),행정절차 (%),상품/서비스 개발 (%),사무실/작업공간 확보 (%),사업/시장정보 획득 (%),경영교육 (%),인력확보 (%),홍보/마케팅 (%),기타 (%)
"전체",소계,소계,271375,6.4,74.6,3.3,10.8,5.3,1.1,28.0,4.7,0.1,5.5,24.1,5.7
"대표자성별",남성,소계,205088,6.9,75.9,3.2,10.4,5.3,1.2,27.8,4.8,0.1,5.5,22.8,5.8
"대표자성별",여성,소계,66287,5.0,70.5,3.5,12.0,5.1,0.9,28.9,4.3,0.1,5.5,28.2,5.3
"권역별",수도권,소계,126259,6.2,70.8,3.5,13.2,5.3,1.4,25.2,5.3,0.1,7.6,25.1,5.6
"권역별",수도권,서울,59703,6.6,69.5,4.6,12.0,4.6,1.2,25.9,5.9,0.0,8.3,28.4,5.0
"권역별",수도권,인천/경기,66556,5.9,71.9,2.5,14.2,5.9,1.5,24.5,4.7,0.1,6.9,22.2,6.1
"권역별",충청권,소계,25452,3.3,80.8,5.1,16.2,9.4,1.6,29.8,3.7,0.5,2.3,19.3,2.1
"권역별",호남권,소계,27091,10.2,73.8,2.9,6.5,8.6,1.1,45.4,2.3,0.2,2.0,29.8,1.9
"권역별",영남권,소계,81726,6.6,78.3,2.5,7.6,3.1,0.6,27.4,4.8,0.1,4.7,22.5,7.7
"권역별",강원/제주,소계,10847,5.2,77.0,2.8,4.5,4.4,0.4,19.1,5.5,0.0,4.3,21.9,10.5
"업종별",농업임업 및 어업,소계,225,8.0,75.2,2.8,21.2,14.0,0.0,22.3,5.3,0.0,7.8,20.1,3.1
"업종별",제조업,소계,85264,6.7,77.8,2.6,8.5,3.9,1.5,18.5,5.1,0.2,3.8,20.0,8.2
"업종별",도매 및 소매업,소계,5872,2.4,67.6,4.9,8.8,3.4,2.4,11.0,6.6,0.0,6.1,45.7,6.2
"업종별",출판영상방송통신 및 정보서비스업,소계,9516,7.9,74.7,5.1,8.9,3.5,0.8,13.8,8.4,0.5,12.1,24.2,4.6
"업종별",금융 및 보험업,소계,757,0.6,64.9,18.5,24.7,8.2,0.0,19.9,5.3,0.0,2.7,25.6,5.8
"업종별",전문과학 및 기술 서비스업,소계,23110,10.1,62.6,2.7,13.0,6.4,1.1,15.9,11.4,0.4,4.3,27.3,9.3
"업종별",사업시설관리 및 사업지원 서비스업,소계,12550,4.0,70.8,13.1,15.1,10.9,2.0,12.0,7.1,0.2,7.3,25.1,3.9
"업종별",교육 서비스업,소계,73738,5.4,72.8,1.8,12.2,7.7,1.0,37.4,2.5,0.0,8.7,31.7,1.4
"업종별",예술 스포츠 및 여가관련 서비스업,소계,3456,4.4,76.7,6.9,11.5,6.4,0.7,34.2,2.7,0.0,6.5,21.3,2.8
"업종별",협회 및 단체 수리 및 기타 개인 서비스업,소계,56887,6.7,78.4,3.3,10.8,2.9,0.4,42.5,3.0,0.0,2.8,16.9,6.8
